rank,branch_name,checkpoint,time,reached_at
1,xHeaven,2.05,2.055,2026-03-13 03:13:50
2,random767435,2.44,2.449,2026-03-12 23:40:58
3,l0gicnz,2.46,2.469,2026-03-13 04:24:23
